property_type,sector,society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,sector 37d,BPTP Terra3.8 ★,1.49,8107.0,3,3,3,20.0,Relatively New,1707.0,0,0,0,0,1,0,49
flat,sector 99a,Conscient Habitat3.6 ★,0.35,6422.0,2,2,1,3.0,Relatively New,606.0,0,0,0,0,0,0,62
house,sector 66,emaar mgf marbella,8.8,41608.0,4,4,3+,3.0,Relatively New,2115.0,0,1,1,1,0,0,107
flat,sector 104,Godrej Summit3.7 ★,1.2,8299.0,3,2,3+,16.0,Relatively New,1607.0,1,0,0,1,0,1,142
house,sector 55,independent,2.8,18667.0,4,4,0,2.0,Old Property,1500.0,0,0,0,0,0,0,0
flat,sector 83,Sapphire Eighty Three,0.4,8547.0,1,1,1,6.0,Relatively New,520.0,0,0,0,0,0,2,52
flat,sector 102,Emaar Gurgaon Greens4.1 ★,1.4,8485.0,3,3,3,10.0,Relatively New,1300.0,0,1,0,0,0,0,46
house,sector 109,international city by sobha phase 2,11.3,25111.0,7,5,3+,4.0,Relatively New,4500.0,1,1,0,1,1,0,49
flat,sector 77,Umang Winter Hills3.9 ★,0.92,5049.0,3,3,3,17.0,Relatively New,1602.0,0,0,0,0,1,1,49
flat,sohna road,MVN Athens3.7 ★,0.25,3671.0,2,2,1,11.0,Relatively New,681.0,0,0,0,0,0,1,67
flat,sector 65,M3M Heights,3.0,17996.0,3,3,3,20.0,Under Construction,1667.0,0,0,0,0,0,0,60
flat,sector 95,Sidhartha NCR One Phase 14.2 ★,0.9,4500.0,3,3,1,15.0,Relatively New,2000.0,0,0,0,0,0,0,60
flat,sector 78,Raheja Revanta,0.99,6100.0,2,2,3,14.0,Under Construction,1467.0,0,0,0,0,1,0,39
flat,sector 74,M3M Skywalk,1.6,9512.0,2,2,2,26.0,Relatively New,1508.0,0,0,0,0,0,1,158
flat,manesar,sonata group housing Gh 24,1.65,5893.0,4,3,3,8.0,New Property,3111.0,0,1,0,0,0,0,20
flat,sohna road,Signature Global Park4.0 ★,0.79,7308.0,3,2,3+,4.0,Under Construction,978.0,0,0,0,0,0,0,109
flat,sector 70,Shree Vardhman Victoria3.8 ★,1.63,8359.0,3,3,3,5.0,New Property,1527.0,0,1,0,0,1,0,49
flat,sector 83,Vatika Gurgaon 213.7 ★,1.19,7438.0,3,3,2,10.0,Relatively New,1778.0,0,1,0,0,0,1,35
flat,sector 82a,Vatika INXT Floors,0.75,7500.0,2,2,2,1.0,Relatively New,1000.0,0,0,0,0,0,0,0
house,sector 12,independent,0.7,4118.0,4,4,1,2.0,Moderately Old,1700.0,0,0,0,0,0,0,0
flat,sector 104,Godrej Summit3.7 ★,1.05,5833.0,3,4,3+,7.0,Relatively New,2000.0,0,1,0,0,0,1,96
flat,sector 90,DLF New Town Heights 13.9 ★,1.25,6504.0,3,3,3+,5.0,Relatively New,1929.0,0,1,0,1,0,0,127
